epoch,travel_accuracy,travel_completeness,travel_fluency,travel_prosodic,business_accuracy,business_completeness,business_fluency,business_prosodic,academic_accuracy,academic_completeness,academic_fluency,academic_prosodic
17,0.4491,0.001,0.3395,0.2104,0.5065,0.0741,0.2735,0.1458,0.3178,0.0228,0.2554,0.404
18,0.4223,0.0011,0.3549,0.2217,0.4945,0.0731,0.281,0.1514,0.3093,0.024,0.2499,0.4168
19,0.431,0.0011,0.361,0.207,0.4956,0.0721,0.2801,0.1522,0.3171,0.0245,0.2587,0.3997
20,0.4598,0.0012,0.3199,0.2191,0.4903,0.0749,0.2791,0.1557,0.3195,0.0252,0.255,0.4003
21,0.456,0.0011,0.3324,0.2105,0.5044,0.0664,0.2794,0.1498,0.3225,0.0239,0.2621,0.3915
22,0.4507,0.0012,0.3356,0.2125,0.5055,0.0651,0.281,0.1484,0.3154,0.0222,0.2527,0.4097
23,0.4318,0.0011,0.3563,0.2108,0.4846,0.0684,0.292,0.1549,0.314,0.02,0.2679,0.3981
24,0.4555,0.0012,0.3281,0.2152,0.5083,0.0651,0.2807,0.1459,0.3296,0.0203,0.2517,0.3983
25,0.4506,0.0012,0.339,0.2092,0.4983,0.0627,0.2916,0.1474,0.3154,0.0203,0.2657,0.3987
26,0.4566,0.0012,0.3234,0.2187,0.5052,0.058,0.2903,0.1465,0.3129,0.0197,0.2611,0.4062
27,0.4766,0.0012,0.3277,0.1945,0.4918,0.0636,0.2924,0.1523,0.3188,0.0194,0.259,0.4028
28,0.4441,0.0014,0.3368,0.2176,0.4921,0.0624,0.2923,0.1533,0.3215,0.0212,0.2612,0.3961
29,0.4588,0.0015,0.3273,0.2124,0.5066,0.0598,0.2874,0.1462,0.3136,0.0221,0.2607,0.4036
30,0.4598,0.0015,0.3319,0.2068,0.4953,0.0613,0.2918,0.1516,0.3212,0.0211,0.2525,0.4052
31,0.4416,0.0015,0.3506,0.2062,0.4975,0.0601,0.2938,0.1486,0.3167,0.0222,0.2709,0.3902
32,0.4491,0.0016,0.3335,0.2159,0.4959,0.0579,0.2942,0.1521,0.3215,0.0205,0.26,0.398
33,0.4577,0.0016,0.3331,0.2076,0.4888,0.0611,0.2955,0.1546,0.3141,0.0203,0.2686,0.397
34,0.4495,0.0016,0.3422,0.2067,0.4964,0.0589,0.2961,0.1486,0.3046,0.0182,0.2703,0.4069
35,0.4596,0.0017,0.331,0.2077,0.5032,0.0601,0.2923,0.1444,0.3247,0.0181,0.2661,0.3911
36,0.4543,0.0017,0.3318,0.2122,0.5054,0.0569,0.2957,0.1419,0.3245,0.0192,0.2619,0.3944
37,0.4528,0.0018,0.3299,0.2154,0.4973,0.0603,0.2943,0.1482,0.3179,0.0198,0.2614,0.4009
38,0.4605,0.0019,0.3342,0.2033,0.488,0.0626,0.298,0.1514,0.3229,0.0207,0.2665,0.3899
39,0.47,0.002,0.3235,0.2045,0.4987,0.0607,0.2929,0.1476,0.3157,0.0209,0.2674,0.3961
40,0.4568,0.002,0.3316,0.2096,0.4912,0.0592,0.2985,0.1511,0.319,0.0205,0.266,0.3945
41,0.4571,0.002,0.3339,0.207,0.5032,0.0582,0.2933,0.1453,0.3189,0.0203,0.2669,0.3938
42,0.4589,0.0021,0.3351,0.2039,0.5004,0.0579,0.2959,0.1457,0.3169,0.0211,0.2647,0.3973
43,0.465,0.0022,0.3278,0.205,0.4999,0.059,0.2956,0.1454,0.3199,0.022,0.2631,0.3951
44,0.4642,0.0023,0.3288,0.2047,0.5033,0.0573,0.2946,0.1448,0.3175,0.0236,0.2602,0.3987
45,0.4651,0.0023,0.3247,0.2079,0.4989,0.058,0.2955,0.1476,0.3228,0.0231,0.2581,0.396
46,0.4626,0.0023,0.3282,0.2069,0.498,0.058,0.2963,0.1477,0.3203,0.0227,0.26,0.397
47,0.4633,0.0023,0.3293,0.2051,0.5026,0.0563,0.2962,0.1449,0.3176,0.0224,0.264,0.3959
48,0.4608,0.0023,0.3357,0.2011,0.5051,0.0563,0.2945,0.1441,0.3219,0.0221,0.2636,0.3925
49,0.4574,0.0023,0.3345,0.2057,0.5073,0.0562,0.292,0.1445,0.3195,0.022,0.2604,0.3981
50,0.4549,0.0024,0.3363,0.2064,0.5037,0.0571,0.2923,0.1469,0.3203,0.0219,0.2614,0.3964
51,0.4543,0.0024,0.3372,0.2062,0.5047,0.0565,0.2925,0.1463,0.3167,0.0222,0.2623,0.3989
52,0.4579,0.0024,0.335,0.2047,0.5047,0.0568,0.2918,0.1468,0.3185,0.0217,0.2618,0.398
53,0.455,0.0024,0.3358,0.2069,0.5041,0.0568,0.2919,0.1472,0.3183,0.0217,0.2619,0.3981
54,0.458,0.0024,0.3317,0.208,0.5029,0.0571,0.292,0.148,0.3198,0.0216,0.2612,0.3975
55,0.4558,0.0024,0.3334,0.2085,0.5024,0.0569,0.2925,0.1482,0.3188,0.0216,0.2623,0.3974
56,0.4565,0.0024,0.3329,0.2082,0.5017,0.057,0.293,0.1484,0.3187,0.0215,0.2629,0.3969
57,0.4578,0.0024,0.3324,0.2074,0.5017,0.0571,0.2929,0.1484,0.3191,0.0215,0.2633,0.3961
58,0.4571,0.0024,0.3329,0.2076,0.5017,0.0571,0.2929,0.1483,0.3189,0.0214,0.2634,0.3962
59,0.457,0.0024,0.333,0.2076,0.5018,0.0571,0.2929,0.1483,0.3189,0.0215,0.2635,0.3961
60,0.457,0.0024,0.333,0.2076,0.5018,0.057,0.2929,0.1483,0.3189,0.0215,0.2635,0.3961
